frame,brightness,size,catchlights,blink
0,77.36722306525039,5272,4,0
1,76.78852772466539,5230,4,0
2,76.9831739961759,5230,4,0
3,77.24434389140272,5304,4,0
4,73.5810938981979,6326,5,0
5,73.31849315068493,6424,5,0
6,77.46666666666667,5280,4,0
7,71.32389675270608,2402,2,1
8,78.22019047619048,5250,4,0
9,71.618410041841,2390,2,1
10,77.72482705611068,5204,4,0
11,73.57592472420507,6164,5,0
12,77.85925085130533,5286,4,0
13,73.68643248469223,6206,5,0
14,78.08223684210526,5472,4,0
15,77.75191815856778,5474,4,0
16,77.48087236324633,5594,4,0
17,77.9800868935554,5524,4,0
18,78.10909090909091,5390,4,0
19,78.58308605341246,5392,4,0
20,79.19275786393563,5468,4,0
21,79.36070911722142,5528,4,0
22,79.4018861080885,5514,4,0
23,78.2612349287541,5474,4,0
24,78.14808238636364,5632,4,0
25,73.92231308411215,6848,5,0
26,79.248585572843,5656,4,0
27,75.38139957588609,6602,5,0
28,76.01602959309494,6488,5,0
29,79.94720279720279,5720,4,0
30,76.3657780533168,6452,5,0
31,76.61352201257861,6360,5,0
32,79.65944813133078,5726,4,0
33,80.14556962025317,5688,4,0
34,80.44197359277275,5756,4,0
35,80.01006245662734,5764,4,0
36,78.89458987783595,5730,4,0
37,79.23753051970701,5734,4,0
38,79.37692307692308,5720,4,0
39,79.76192158247969,5662,4,0
40,79.80363506771205,5612,4,0
41,74.12529411764706,6800,5,0
42,74.15529753265602,6890,5,0
43,75.24131736526947,6680,5,0
44,78.18646864686468,6060,5,0
45,80.01030195381882,5630,4,0
46,76.92151898734177,6320,5,0
47,75.81803645666773,6254,5,0
48,0.0,0,0,1
49,0.0,0,0,1
50,0.0,0,0,1
51,0.0,0,0,1
52,48.17,200,1,1
53,0.0,0,0,1
54,0.0,0,0,1
55,0.0,0,0,1
56,0.0,0,0,1
57,0.0,0,0,1
58,48.74285714285714,280,1,1
59,47.69897959183673,392,1,1
60,48.30909090909091,220,1,1
61,0.0,0,0,1
62,53.49710982658959,346,1,1
63,54.014792899408285,676,2,1
64,55.1887323943662,1420,4,0
65,54.513189448441246,834,2,1
66,59.06188925081433,614,1,1
67,60.54032258064516,1736,3,0
68,61.276553106212425,1996,3,0
69,62.9765625,768,1,1
70,61.933277027027025,2368,3,0
71,62.82444626743232,2438,3,0
72,62.94773519163763,2870,4,0
73,65.3055900621118,1610,2,1
74,64.43822276323797,3286,4,0
75,65.2673860911271,3336,4,0
76,63.73659117997616,1678,2,1
77,66.52397067117879,3546,4,0
78,67.45852803738318,3424,4,0
79,66.77424657534246,3650,4,0
80,66.41611479028697,3624,4,0
81,66.6890243902439,3608,4,0
82,67.15895147796988,3586,4,0
83,68.03841991341992,3696,4,0
84,68.52266521026762,3662,4,0
85,66.66970387243735,3512,4,0
86,63.32342007434944,1614,2,1
87,64.21914648212226,1734,2,1
88,70.15594541910332,4104,4,0
89,70.84841307437233,4222,4,0
90,70.57557323350491,4274,4,0
91,73.12147887323944,4544,4,0
92,72.76458245908519,4766,4,0
93,68.37915936952714,2284,2,1
94,75.10578512396694,4840,4,0
95,75.32673684210526,4750,4,0
96,75.94248683677603,4938,4,0
97,75.63788187372708,4910,4,0
98,75.91930379746836,5056,4,0
99,79.62309368191721,2754,2,1
100,72.24740484429066,2312,2,1
101,75.78650306748466,4890,4,0
102,76.37738143494123,4934,4,0
103,76.70415155179363,4962,4,0
104,77.65827198760171,5162,4,0
105,77.02052901697591,5066,4,0
106,77.5756514974718,5142,4,0
107,76.89105058365759,5140,4,0
108,76.16405638214566,5108,4,0
109,76.83463643471462,5116,4,0
110,77.0039494470774,5064,4,0
111,77.32578466428288,5034,4,0
112,73.56070826306915,2372,2,1
113,77.61147477859068,5194,4,0
114,77.14686907020872,5270,4,0
115,77.17368421052632,5320,4,0
116,77.1324028668427,5302,4,0
117,77.08844065166797,5156,4,0
118,77.47391133777953,5098,4,0
119,75.526941362916,5048,4,0
120,74.84364951768488,4976,4,0
121,67.70572745227123,3038,3,0
122,0.0,0,0,1
123,0.0,0,0,1
124,0.0,0,0,1
125,0.0,0,0,1
126,0.0,0,0,1
127,0.0,0,0,1
128,0.0,0,0,1
129,0.0,0,0,1
130,0.0,0,0,1
131,0.0,0,0,1
132,0.0,0,0,1
133,0.0,0,0,1
134,0.0,0,0,1
135,0.0,0,0,1
136,49.04,300,1,1
137,0.0,0,0,1
138,48.68181818181818,220,1,1
139,52.12,200,1,1
140,52.42788461538461,832,3,0
141,56.26021505376344,930,3,0
142,58.33639705882353,1088,3,0
143,55.552429667519185,1564,4,0
144,57.34027777777778,1440,3,0
145,57.07055630936228,1474,3,0
146,55.41638981173865,1806,4,0
147,56.57722772277228,2020,4,0
148,54.96606334841629,884,2,1
149,59.38601271571299,2202,3,0
150,59.91047448522829,2234,3,0
151,62.56991869918699,2460,3,0
152,63.59909228441755,2644,3,0
153,63.78283485045514,3076,4,0
154,64.70453134698944,3222,4,0
155,65.21663313212609,2982,4,0
156,63.109777015437395,1166,2,1
157,67.23478260869565,3220,4,0
158,67.18538011695907,3420,4,0
159,67.82024432809773,3438,4,0
160,67.73272933182334,3532,4,0
161,68.51004016064257,3486,4,0
162,68.74125132555673,3772,4,0
163,65.4393063583815,1730,2,1
164,70.37803692905733,4116,4,0
165,70.18905715681485,4094,4,0
166,72.04413858566683,4214,4,0
167,72.250452079566,4424,4,0
168,73.7691637630662,4592,4,0
169,74.96407653260445,5122,4,0
170,75.75164920450136,5154,4,0
171,76.88403669724771,5450,4,0
